City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,14.54,72,64,2.68,ZA,1686542091
1,san marcos de colon,13.4333,-86.8,20.01,93,96,0.8,HN,1686542091
2,cuamba,-14.8031,36.5372,13.21,70,0,0.37,MZ,1686542091
3,leh,34.1667,77.5833,12.62,43,83,1.06,IN,1686542091
4,constantia,44.1833,28.65,16.5,83,72,8.9,RO,1686542091
5,puerto natales,-51.7236,-72.4875,3.84,87,55,5.94,CL,1686542091
6,edinburgh of the seven seas,-37.0676,-12.3116,16.04,89,88,13.8,SH,1686542076
7,tokar,18.4254,37.729,32.36,51,19,3.79,SD,1686542091
8,okhotsk,59.3833,143.3,12.28,75,45,4.26,RU,1686542091
9,puerto la cruz,10.2167,-64.6167,25.64,80,60,1.83,VE,1686542091
10,codrington,-38.2667,141.9667,15.66,60,17,7.82,AU,1686542091
11,cabo san lucas,22.8909,-109.9124,29.61,66,0,6.76,MX,1686542307
12,cannonvale,-20.2833,148.7,22.66,73,22,6.14,AU,1686542307
13,port-aux-francais,-49.35,70.2167,5.47,92,100,15.66,TF,1686542307
14,saint-philippe,-21.3585,55.7679,22.77,77,37,3.08,RE,1686542092
15,siwa oasis,29.2041,25.5195,27.01,34,35,2.88,EG,1686542307
16,adamstown,-25.066,-130.1015,20.76,58,60,5.42,PN,1686541634
17,santiago de cao,-7.9589,-79.2392,22.07,83,93,3.09,PE,1686542092
18,cassilandia,-19.1133,-51.7342,20.21,49,0,0.57,BR,1686542092
19,avarua,-21.2078,-159.775,26.03,78,27,2.06,CK,1686542075
20,yellowknife,62.456,-114.3525,3.29,93,100,6.71,CA,1686541988
21,hadibu,12.65,54.0333,28.4,77,99,10.15,YE,1686542092
22,west island,-12.1568,96.8225,26.99,78,75,9.5,CC,1686542092
23,puerto ayora,-0.7393,-90.3518,26.42,89,89,4.92,EC,1686541858
24,olonkinbyen,70.9221,-8.7187,0.86,98,100,4.38,SJ,1686542308
25,nuuk,64.1835,-51.7216,1.6,100,96,12.07,GL,1686542308
26,kirakira,-10.4544,161.9205,28.53,77,100,3.35,SB,1686542093
27,el alto,-4.2714,-81.2147,23.09,79,8,8.86,PE,1686542308
28,arraial do cabo,-22.9661,-42.0278,21.91,78,0,4.51,BR,1686542308
29,kabare,-2.4683,28.8242,14.91,89,91,0.72,CD,1686542308
30,la'ie,21.6477,-157.9253,28.98,69,27,4.02,US,1686542308
31,marsh harbour,26.5412,-77.0636,27.4,77,1,4.74,BS,1686542093
32,ust-nera,64.5667,143.2,16.72,69,100,4.68,RU,1686542093
33,thompson,55.7435,-97.8558,19.09,55,40,0.0,CA,1686542028
34,lhasa,29.65,91.1,17.14,50,82,3.04,CN,1686542094
35,whitehorse,60.7161,-135.0538,13.34,46,100,9.77,CA,1686542094
36,xining,36.6167,101.7667,18.47,44,9,1.3,CN,1686542309
37,stanley,54.868,-1.6985,14.3,92,0,1.03,GB,1686542309
38,blackmans bay,-43.0167,147.3167,14.29,65,56,2.5,AU,1686542094
39,margaret river,-33.95,115.0667,14.69,75,86,6.14,AU,1686542309
40,escanaba,45.7453,-87.0646,10.17,81,0,0.0,US,1686542309
41,waitangi,-43.9535,-176.5597,11.57,89,100,0.45,NZ,1686542309
42,utrik,11.2278,169.8474,27.74,81,70,7.61,MH,1686542094
43,jisr ash shughur,35.8143,36.3206,20.6,80,94,2.42,SY,1686542309
44,ketchikan,55.3422,-131.6461,16.26,48,75,4.12,US,1686542309
45,bethel,41.3712,-73.414,20.05,78,75,3.6,US,1686542095
46,el jadid,33.2549,-8.506,20.0,79,17,2.23,MA,1686541902
47,bredasdorp,-34.5322,20.0403,12.56,82,30,7.39,ZA,1686542095
48,revda,56.801,59.9303,9.5,42,7,2.62,RU,1686542095
49,papatowai,-46.5619,169.4708,9.29,82,76,5.87,NZ,1686542095
50,porto torres,40.835,8.3972,20.1,90,86,2.29,IT,1686542095
51,port elizabeth,-33.918,25.5701,14.62,84,0,8.75,ZA,1686542095
52,klyuchi,52.2667,79.1667,22.72,36,2,0.65,RU,1686542095
53,sinabang,2.4803,96.3801,29.29,69,91,1.12,ID,1686542095
54,san andres,12.5847,-81.7006,28.01,94,75,1.03,CO,1686542095
55,yaren,-0.5472,166.916,28.7,75,28,3.37,NR,1686542062
